Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
4452,MITATF/4L,MITATF/4L,MITSUBISHI DIAQUEEN ATF SP-III 4L,MIT,MITSUBISHI,ATF OIL,35.45,46,78.5,0,,
4453,NS-2/4L,NS-2/4L,NISSAN CVT FLUID NS-2 4L (BLUE),NS,NISSAN,ATF OIL,76.8,88,152.1,42,,
10288,HY/KIAATF/4L(S),HY/KIAATF/4L(S),ATF OIL SP-III 4L HYUNDAI / KIA (SILVER),HYUNDAI / KIA,HYUNDAI / KIA,ATF OIL,24,38,58.2,0,,
10470,10215,08200-9008,ATF OIL DW-1 1LT HONDA,HONDA,GP,ATF OIL,0,10.8,19.5,0,,
13014,12759,443ML,TRANSMISSION STOP-LEAK,UNIVERSAL,J B,ATF OIL,0,10,18,0,,
13110,08886-02305,08886-02305,TOYOTA - ATF WS 4L,TOYOTA,TOYOTA,ATF OIL,35.2,57,63.2,0,,
13193,SUZUKIATF/1L,SUZUKIATF/1L,SUZUKI - ATF OIL (3317-3314) 1L,SZ,SUZUKI,ATF OIL,18.1247,26,41.1,0,,
13194,NS-1/4L,NS-1/4L,NISSAN CVT FLUID NS-1 4L (GREY),NS,NISSAN,ATF OIL,68.4,79,123.2,38,,
13236,T/YCVTOIL/4L,T/YCVTOIL/4L,TOYOTA - (08886-02105)CVT OIL 4L,TOYOTA,TOYOTA,ATF OIL,0,50,56.2,4,,
13413,T/YATFT-IV/4L,T/YATFT-IV/4L,TOYOTA - AUTO FLUID TYPE T-IV 4L ,TOYOTA,TOYOTA,ATF OIL,30,35,63,0,,
14070,13815,MZ320015,ATF OIL SP-3 5LTR MITSUBISHI,MITSUBISHI,MITSUBISHI,ATF OIL,0,41,0,0,,
14323,SUBARUATFHP/1L,SUBARUATFHP/1L,SUBARU - CERTIFIED ATF HP (POWER STEERING FLUID )1L,SUBARU,SUBARU,ATF OIL,12,17,0,105,,
14334,ATFPRO/4L,ATFPRO/4L,AGIP - AUTO TRASMISSION FLUID 4L,,AGIP,ATF OIL,15.67,29,0,245,,
14336,ATFZ1/1L,ATFZ1/1L,HONDA ATF Z1 1L,,HONDA,ATF OIL,6.4,9.5,0,0,,
14816,SUBARU 5 ATF,SUBARU 5 ATF,SUBARU 5 ATF OIL 4L,,SUBARU,ATF OIL,55,77,0,58,,
19827,ENIMULTIAFT/4L,ENIMULTIAFT/4L,ENI - MULTI ATF TEC L 4L,,ENI,ATF OIL,25,37.5,0,0,,
19837,HY/KIAATF/4L(B),HY/KIAATF/4L(B),KIA / HYUNDAI ATF SP-III 4L (BLUE),KIA / HYUNDAI,KIA / HYUNDAI,ATF OIL,24,38,0,0,,
20333,EZ3D/1L,EZ3D/1L,ESSENZA - AUTOMATIC 3D 1L,,ESSENZA,ATF OIL,3.076,8,0,501,,
20703,GUM-402015/MF,GUM-402015/MF,K&W - TRANS X AUTOMATIC TRANSMISSION STOP LEAK & TUNE UP 444 ML,,K&W,ATF OIL,20,25,0,0,6,STOCK TAKE
